Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Number_of_Services,Tenure_Group,Monthly_to_Total_Ratio
0,1,1,0,-0.8295205827584317,1,1,0.47156173812821356,-0.5966488541341161,1,1.1882807589483728,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0.0850433564927021
1,1,1,1,-1.1145631287986442,1,0,-1.4527991880641573,-0.9555511584266455,1,-1.5184585873537018,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.18328254244666958
0,0,0,0,-0.30015585439803716,1,1,1.1213243651931677,0.10357461514417286,1,0.7918220601926973,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,5,3,0.03915722520373683
1,1,0,1,1.4508197855632678,1,1,1.503537675231376,2.352438365341499,1,0.5356877622759176,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,7,5,0.014449253564696531
1,1,0,0,0.9214550572028734,1,1,1.0631614701873533,1.3055333586162896,1,0.6371270881835531,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,4,0.018464092826198975
0,0,0,0,0.18848851024232702,1,1,0.39013368512007346,0.25959895431203156,1,-1.3586916490491758,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0.026662948957008173
0,1,0,0,-0.9109613101984924,1,1,1.1794872601989819,-0.536074439408407,1,1.3505836804005897,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,0.09407403931872566
1,1,1,0,-1.1960038562387048,1,1,0.32033821111309646,-0.9045062947429998,1,0.012429906135697747,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.32270657124268054
0,0,1,0,-0.21871512695797646,1,1,0.44164939212522314,-0.06363371101055196,1,0.20093798678072042,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0.03653171074186754
0,1,0,1,-0.30015585439803716,0,1,-0.2047896409393986,-0.34283632105545325,1,-0.17776882994111887,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,5,3,0.03897183520101087
1,1,1,1,-1.2774445836787656,0,1,-0.9742016520163136,-0.990139899245987,1,-1.7745928852704813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0.9725651577503429
1,1,1,1,-1.2367242199587352,1,0,-0.6784017859867437,-0.9699337215734635,1,-1.5471997296941984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.539209726443769
0,0,0,0,-1.2774445836787656,1,1,0.18905624809997262,-0.9746984970944953,1,-0.3688128937338324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9860041987403779
0,1,1,1,-0.9924020376385531,1,0,0.21232140610229844,-0.7571070816340459,1,-1.4694295798316779,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,1,0.12600726113521651
1,1,1,1,-1.2774445836787656,1,1,-0.6351950639824246,-0.9856398334761236,1,-1.5218398982172896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9785637727759914
1,1,1,0,-1.0331224013585834,1,0,1.0049985751815391,-0.7165844305593455,1,-1.3646089430604544,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,0.1447067783701447
0,1,0,0,-0.5037576729981889,1,0,0.5862257311396761,-0.30326221325577307,1,1.114737247665337,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0.05171494022029059
0,1,1,0,-1.1552834925186746,1,1,0.20401242110146783,-0.8853368969292195,1,-0.09577204149911347,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2587591240875913
1,0,0,1,1.0436161483629645,0,1,-0.6468276429835875,0.16388432011871337,1,0.8822721257936723,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,4,0.017080159867279995
0,1,0,0,-1.2367242199587352,1,1,1.3174164112127704,-0.8986606210713638,1,0.2448950280073625,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,6,1,0.42821985233798193
0,1,0,1,0.8400143297628127,1,1,1.0000131841810405,1.200222995943116,1,-0.061113605147338004,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,4,4,0.01896544829240982
0,0,1,0,-0.7073594915983407,1,1,0.32200000811326246,-0.5003165638547383,1,1.113046592233543,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.06492543821400541
0,0,1,0,-1.0331224013585834,1,0,0.3884718881199074,-0.7836001158968197,1,0.015811216999285598,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.15150614347998415
0,1,1,1,-1.2774445836787656,0,0,-1.156999322034587,-0.9925664052983643,1,0.11302390432743631,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9676898222940226
1,1,1,0,-0.9924020376385531,1,0,0.6560212051466532,-0.713429972691255,1,-1.9005467149391289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.12732615083251714
0,1,1,0,-0.7888002190384014,1,1,0.4815325201292102,-0.5153388422335466,1,0.6269831555927896,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0.07122635150316811
0,1,0,1,-1.2774445836787656,0,1,-1.328164413051698,-0.9948384973292265,1,0.38099279026677346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.9612403100775194
1,1,0,0,-1.0738427650786138,1,1,0.8720548151682491,-0.7715117039267947,1,-1.7898087841566268,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,0.17105263157894737
1,1,1,0,-1.2774445836787656,1,0,0.50313588113137,-0.9705293185135924,1,-0.8506496917951012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0.9876390605686032
0,1,1,0,-0.5444780367182193,1,1,1.3905354792200795,-0.15233353679790662,1,-0.537878436913225,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,6,2,0.05507763052520085
1,1,1,1,-1.2367242199587352,1,1,-0.6235624849812617,-0.9684998770879678,1,-1.465202941252193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.5380116959064327
0,1,1,0,-1.1552834925186746,1,1,0.179085466098976,-0.8873883975007748,1,-1.8371471362468565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.2604418043437906
1,1,0,1,-1.1552834925186746,1,0,-0.4889569279678058,-0.9266536772574252,1,-0.8506496917951012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0.2775159412253951
0,1,0,1,-1.2774445836787656,1,0,-0.31779183695069496,-0.9814265366033595,1,-0.6443897291162423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0.9822064056939501
1,1,1,0,-1.2774445836787656,1,1,0.6593447991469852,-0.9684557587961065,1,-1.6198979132613371,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0.9883177570093458
1,1,1,1,-1.2367242199587352,1,1,-0.34438058895335305,-0.955440862696992,1,-1.5590343177167558,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0.47263249348392705
0,0,1,0,-0.8702409464784621,1,1,1.0049985751815391,-0.5115226099875352,1,1.3353677815144445,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0.08472308927138143
1,0,1,1,-0.7073594915983407,1,1,0.32033821111309646,-0.5318170242437815,1,0.18234077703098725,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0.0691899934901888
1,1,1,1,-1.2774445836787656,1,1,-0.5388108379727895,-0.9843604030121428,1,1.0876867607566343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.9798183652875883
0,1,0,1,-1.2367242199587352,1,0,0.1873944510998066,-0.9408597672367975,1,1.0876867607566343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.4751940600742491
1,0,0,1,-1.2774445836787656,0,0,-0.8163309370005319,-0.9880442803825703,1,1.206877968698106,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0.9757281553398058
0,1,0,1,-1.2367242199587352,1,1,-0.6700928009859131,-0.9702425496164933,1,0.40888860489137324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.5469037400367873
1,0,1,1,-1.1960038562387048,0,1,-0.7847567939973756,-0.9474554518700777,1,-1.763603624963821,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0.3089339339339339
1,0,1,1,-0.7888002190384014,1,1,1.4005062612210766,-0.40387397784570706,1,-1.6114446361023675,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,2,0.07829781000512709
1,1,1,1,1.0843365120829946,1,0,-1.5093002860698053,-0.520655096402846,1,0.5779541480707658,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,4,0.017581319280392516
0,0,1,1,-0.6666391278783103,1,1,0.9867188081797118,-0.33906420710130314,1,-0.4989933619819647,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,2,0.06245866948816294
1,1,1,1,-1.2774445836787656,0,0,-1.328164413051698,-0.9948384973292265,1,0.5804901312184567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9612403100775194
1,1,1,1,-1.2774445836787656,1,0,0.19404163910047073,-0.9746323196567032,1,-0.897988043885331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9860335195530726
1,1,0,1,-1.1145631287986442,1,1,0.6859335511496436,-0.8288213650547598,1,-0.6122672759121577,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0.21238497886097985
0,1,0,1,0.7992939660427822,1,1,1.3390197722149297,1.4758079060553824,1,0.37084885767600995,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,4,0.018672733897988746
1,1,0,1,-0.5851984004382496,1,0,1.0099839661820376,-0.2204962977237773,1,0.20516462536020524,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,2,0.0534265420140936
1,1,0,1,-1.2774445836787656,1,0,0.17410007509847744,-0.9748970294078716,1,-0.25892029066722727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9859154929577465
1,0,1,1,-0.9924020376385531,1,1,0.3236618051134285,-0.7381803344255032,1,-0.04674303397708964,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.1226236523742902
1,1,1,1,-0.9109613101984924,1,1,-0.6617838159850825,-0.8136887909462978,1,-0.28681610529182705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.10277268560953255
1,0,1,1,-0.3408762181180675,1,1,0.37683930911874425,-0.25016584900057215,1,-2.013820628869322,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0.044406839003326135
0,1,1,1,-1.2774445836787656,1,1,0.2937494591104381,-0.973308770900861,1,-1.5514263682736833,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.9865951742627346
0,0,1,1,-1.1552834925186746,1,1,1.0199547481830342,-0.83102727964783,1,-0.6114219481962607,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0.2403676655754218
1,0,0,1,-0.015113308357824713,1,1,0.33695618111475767,0.010418841878816238,1,-0.2496216857923607,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0.032503742920997246
1,1,1,1,-1.1145631287986442,1,1,0.5264010391336954,-0.8224462718807867,1,1.1113559368017492,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0.19349417836994356
0,1,0,1,0.22920887396235737,1,0,0.5164302571326987,0.343644300308008,1,-1.9690182599267827,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,6,3,0.026244831925220202
1,0,0,1,-0.3408762181180675,1,1,0.9435120861753926,-0.021478683136979433,1,-1.849827051985311,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,2,0.04173293609014135
0,0,1,1,0.880734693482843,1,0,0.5878875281398422,0.9134099805521226,1,-0.21242726629289432,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,7,4,0.018949231228884648
0,0,1,1,-1.2367242199587352,1,1,0.1857326540996401,-0.9444333488775714,1,-1.4618216303886051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.5023205997857907
0,1,1,1,-1.0331224013585834,1,1,0.3020584441112687,-0.7802250665694221,1,-1.6291965181362038,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.1441678867740361
0,1,1,1,-1.2367242199587352,1,0,0.5264010391336954,-0.937043534990786,1,-1.4516776977978416,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0.5140306122448979
1,1,0,1,1.4508197855632678,1,1,0.36686852711774764,1.329820478285993,1,0.42494983149341553,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,6,5,0.01431552705880131
0,1,1,1,0.43281069256250915,1,1,1.3240635992134344,1.0941846814542295,1,0.7182785489096616,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,6,3,0.021970866546940145
1,1,0,1,1.247217966963116,1,1,1.284180471209448,1.907350977897715,1,-0.0408257399658109,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,5,0.01565717746820109
0,1,1,1,-1.2367242199587352,1,1,0.8521132511662559,-0.931572866799972,1,-0.20566464456571862,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,1,0.5342789598108748
1,1,0,1,-1.1552834925186746,1,1,0.6659919871476498,-0.84170390627829,1,0.4553816292657062,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0.22740681147760794
0,0,1,1,-0.46303730927815856,0,1,-0.7598298389948839,-0.6351420637831919,1,0.3192838670062952,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0.049815717512780876
0,1,1,1,-0.9109613101984924,1,1,0.5147684601325326,-0.632539084563369,1,-0.6782028377521208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0.0947461629279811
1,0,0,1,-0.21871512695797646,0,0,-1.1304105700319294,-0.6505834659346836,1,-1.2454177351189828,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0.038146631931522144
1,1,1,1,-1.1145631287986442,1,0,1.0548524851865226,-0.7884751871475049,1,0.8307071351239577,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,1,0.1955222368554351
1,1,1,1,-1.2367242199587352,1,1,0.6942425361504742,-0.9257051339824051,1,-0.4415110773009712,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0.4693150684931507
0,1,0,1,-0.30015585439803716,1,1,1.3356961782145975,0.12651612691210345,1,-0.6410084182526544,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,6,3,0.0408763388510224
1,1,1,1,-1.2774445836787656,1,0,-0.4690153639658123,-0.9834339188830533,1,-1.6647002822038761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.9806389157792836
1,1,1,1,-1.2774445836787656,1,1,0.8670694241677506,-0.9656983655547686,1,-0.8252898603181923,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0.9891126837234622
1,0,0,1,-0.8702409464784621,1,0,-1.4893587220678117,-0.9110358019384879,1,1.2575976316519237,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.09246813441483198
0,0,0,1,0.9214550572028734,1,1,0.6875953481498096,1.1448545396570529,1,0.9313011333156962,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,0.017525688619070084
0,1,1,1,0.06632741908223598,1,1,0.30538203811160125,0.10796438518438257,1,1.1789821540735062,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0.02928191015462591
1,1,0,1,1.4915401492832983,1,1,1.1528985081963241,2.0858535867689594,1,-0.3214745416436025,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,5,5,0.014189709785121137
0,1,1,1,-1.2774445836787656,1,1,-1.491020519067978,-0.9970002936304354,1,-0.8869987835786706,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.9521531100478469
1,1,1,1,-1.2774445836787656,1,1,-1.5009913010689746,-0.9971326485060197,1,-0.8050019951366651,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.9514563106796117
1,0,1,1,-1.1960038562387048,1,1,0.5513279941361872,-0.9026753856307516,1,-1.3375584561517517,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0.3466126970600767
0,1,0,1,-0.4223169455581282,1,0,0.6161380771426661,-0.1914002842411807,1,-0.5040653282773464,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0.045102604364069515
0,0,1,1,-1.2774445836787656,1,1,0.3502505571160864,-0.972558759939217,1,0.42410450377751857,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0.9868938401048493
0,1,0,1,1.1657772395230555,1,1,-1.5076384890696393,-0.4840589733038106,1,-0.151563670748313,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,5,0.016391364961345106
1,1,1,1,-0.8295205827584317,1,1,-0.6435040489832552,-0.7768500172420246,1,-1.2792308437548612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.08732448547797654
0,1,1,1,1.125056875803025,1,1,1.3672703212177542,1.816224646057983,1,-0.2496216857923607,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,4,0.016553470523411672
0,1,1,1,-1.2774445836787656,1,0,0.15914390209698223,-0.9750955617212478,1,-1.3595369767650727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9858256555634302
0,1,0,1,-0.1779947632379461,1,1,0.5413572121351905,-0.02322135566550505,1,0.6768574908307105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0.03637628472689736
1,1,0,1,-1.1552834925186746,1,0,1.2093996062019723,-0.8355273454176932,1,0.014120561567491672,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,5,1,0.26143706384078574
1,1,1,1,-1.0331224013585834,1,1,1.1645310871974868,-0.7087534337539461,1,-2.0028313685626613,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,0.14801631442343344
0,1,0,1,-0.7888002190384014,1,0,-0.2928648819482031,-0.6817971574266277,1,0.08259210655514565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0.076086217447474
1,1,1,1,-1.2774445836787656,1,1,-0.3244390249513595,-0.9815147731870822,1,0.4029713108800945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0.9821428571428571
0,1,0,1,-1.2774445836787656,1,1,0.3303089931140931,-0.9728234696903856,1,1.3353677815144445,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.9867899603698811
1,1,1,1,-0.3408762181180675,1,1,0.5147684601325326,-0.18451783071080158,1,0.014965889283388635,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0.04308724832214765
1,1,1,1,-1.1145631287986442,1,1,1.0415581091851935,-0.8057474984112448,1,-0.17607817450932492,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,1,0.21148767605633803
0,1,1,1,-0.7073594915983407,1,0,0.14086413509515497,-0.5668910662735984,1,1.074161517302283,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.06929102229363326
0,1,0,1,0.6364125111626608,0,1,-0.6468276429835875,-0.05944247328371849,1,0.44439236895904566,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0.021109040074557314
0,1,0,1,-0.9924020376385531,1,1,0.6244470621434968,-0.7057533899073706,1,-1.2859934654820369,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0.1226782174583364
1,1,1,1,-1.2774445836787656,1,1,0.31867641411292996,-0.9729778837119004,1,-1.3409397670153396,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.986728599867286
